@type,@rid,@version,repository,name,format,size,created_by,last_downloaded,last_updated,blob_created,blob_updated,@fieldTypes
d,#-2:0,0,maven-central,org/jboss/marshalling/jboss-marshalling-osgi/2.0.6.Final/jboss-marshalling-osgi-2.0.6.Final.jar,maven2,369706,admin,2021-10-13 12:13:47,2021-10-13 12:13:47,2021-10-13 12:13:47,2021-10-13 12:13:47,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:1,0,maven-central,com/amazonaws/aws-java-sdk-s3/1.11.640/aws-java-sdk-s3-1.11.640.jar,maven2,1012300,admin,2021-10-13 12:13:48,2021-10-13 12:13:48,2021-10-13 12:13:48,2021-10-13 12:13:48,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:2,0,maven-central,org/infinispan/infinispan-commons/9.4.18.Final/infinispan-commons-9.4.18.Final.jar,maven2,543060,admin,2021-10-13 12:13:47,2021-10-13 12:13:47,2021-10-13 12:13:47,2021-10-13 12:13:47,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:3,0,maven-central,com/fasterxml/jackson/core/jackson-core/2.12.3/jackson-core-2.12.3.jar,maven2,365220,admin,2022-08-09 11:25:59,2022-08-09 11:25:59,2021-09-14 08:52:12,2021-09-14 08:52:12,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:4,0,maven-central,commons-validator/commons-validator/1.5.1/commons-validator-1.5.1.jar,maven2,178967,admin,2021-10-13 12:13:47,2021-10-13 12:13:47,2021-10-13 12:13:47,2021-10-13 12:13:47,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:5,0,maven-central,org/infinispan/infinispan-tree/9.4.18.Final/infinispan-tree-9.4.18.Final.jar,maven2,37060,admin,2021-10-13 12:13:47,2021-10-13 12:13:47,2021-10-13 12:13:47,2021-10-13 12:13:47,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:6,0,maven-central,com/google/api/api-common/1.8.1/api-common-1.8.1.jar,maven2,45087,admin,2021-10-13 12:13:48,2021-10-13 12:13:48,2021-10-13 12:13:48,2021-10-13 12:13:48,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:7,0,maven-central,com/fasterxml/jackson/dataformat/jackson-dataformat-xml/2.12.3/jackson-dataformat-xml-2.12.3.jar,maven2,120882,admin,2022-08-09 11:25:59,2022-08-09 11:25:59,2021-09-14 08:52:11,2021-09-14 08:52:11,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:8,0,maven-central,com/fasterxml/jackson/core/jackson-annotations/2.12.3/jackson-annotations-2.12.3.jar,maven2,75703,admin,2022-08-09 11:25:59,2022-08-09 11:25:59,2021-09-14 08:52:12,2021-09-14 08:52:12,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:9,0,maven-central,commons-digester/commons-digester/1.8.1/commons-digester-1.8.1.jar,maven2,146108,admin,2021-10-13 12:13:47,2021-10-13 12:13:47,2021-10-13 12:13:47,2021-10-13 12:13:47,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:10,0,maven-central,com/github/package-url/packageurl-java/1.2.0/packageurl-java-1.2.0.jar,maven2,13674,admin,2022-08-09 11:25:59,2022-08-09 11:25:59,2021-09-14 08:52:12,2021-09-14 08:52:12,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:11,0,maven-central,org/infinispan/infinispan-core/9.4.18.Final/infinispan-core-9.4.18.Final.jar,maven2,4492843,admin,2021-10-13 12:13:48,2021-10-13 12:13:48,2021-10-13 12:13:48,2021-10-13 12:13:48,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:12,0,maven-central,org/freemarker/freemarker/2.3.30/freemarker-2.3.30.jar,maven2,1702975,admin,2021-10-13 12:13:48,2021-10-13 12:13:48,2021-10-13 12:13:48,2021-10-13 12:13:48,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:13,0,maven-central,com/google/cloud/google-cloud-core/1.74.0/google-cloud-core-1.74.0.jar,maven2,121903,admin,2021-10-13 12:13:49,2021-10-13 12:13:49,2021-10-13 12:13:49,2021-10-13 12:13:49,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:14,0,maven-central,com/fasterxml/jackson/module/jackson-module-jaxb-annotations/2.12.3/jackson-module-jaxb-annotations-2.12.3.jar,maven2,36575,admin,2022-08-09 11:25:59,2022-08-09 11:25:59,2021-09-14 08:52:12,2021-09-14 08:52:12,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:15,0,maven-central,com/amazonaws/aws-java-sdk-kms/1.11.640/aws-java-sdk-kms-1.11.640.jar,maven2,518415,admin,2021-10-13 12:13:48,2021-10-13 12:13:48,2021-10-13 12:13:48,2021-10-13 12:13:48,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:16,0,maven-central,com/fasterxml/jackson/core/jackson-databind/2.12.3/jackson-databind-2.12.3.jar,maven2,1515756,admin,2022-08-09 11:25:59,2022-08-09 11:25:59,2021-09-14 08:52:12,2021-09-14 08:52:12,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:17,0,maven-central,org/springframework/spring-context-support/5.2.11.RELEASE/spring-context-support-5.2.11.RELEASE.jar,maven2,182954,admin,2021-10-13 12:13:48,2021-10-13 12:13:48,2021-10-13 12:13:48,2021-10-13 12:13:48,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:18,0,maven-central,jakarta/xml/bind/jakarta.xml.bind-api/2.3.2/jakarta.xml.bind-api-2.3.2.jar,maven2,115498,admin,2022-08-09 11:25:59,2022-08-09 11:25:59,2021-09-14 08:52:12,2021-09-14 08:52:12,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:19,0,maven-central,org/cyclonedx/cyclonedx-core-java/5.0.1/cyclonedx-core-java-5.0.1.jar,maven2,1591035,admin,2022-08-09 11:25:59,2022-08-09 11:25:59,2021-09-14 08:52:12,2021-09-14 08:52:12,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:20,0,maven-central,org/slf4j/slf4j-api/1.7.30/slf4j-api-1.7.30.jar,maven2,41472,admin,2022-08-09 11:25:59,2022-08-09 11:25:59,2021-09-14 08:52:12,2021-09-14 08:52:12,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:21,0,maven-central,com/amazonaws/aws-java-sdk-ses/1.11.640/aws-java-sdk-ses-1.11.640.jar,maven2,791257,admin,2021-10-13 12:13:48,2021-10-13 12:13:48,2021-10-13 12:13:48,2021-10-13 12:13:48,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:22,0,maven-central,org/springframework/spring-core/5.2.0.RELEASE/spring-core-5.2.0.RELEASE.jar,maven2,1426560,admin,2022-08-09 11:25:56,2022-08-09 11:25:56,2022-08-09 11:25:56,2022-08-09 11:25:56,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:23,0,maven-central,jakarta/activation/jakarta.activation-api/1.2.1/jakarta.activation-api-1.2.1.jar,maven2,44399,admin,2022-08-09 11:25:59,2022-08-09 11:25:59,2021-09-14 08:52:12,2021-09-14 08:52:12,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
